发布日期,时间,今值,预测值,前值
2018年12月13日,21:30,224.75K,,228.50K
2018年12月6日,21:30,228.00K,,223.75K
2018年11月29日,21:30,223.25K,,218.50K
2018年11月21日,21:30,218.50K,,216.50K
2018年11月15日,21:30,215.25K,,213.75K
2018年11月8日,21:30,213.75K,,214.00K
2018年11月1日,20:30,213.75K,,212.00K
2018年10月25日,20:30,211.75K,,211.75K
2018年10月18日,20:30,211.75K,,209.75K
2018年10月11日,20:30,209.50K,,207.00K
2018年10月4日,20:30,207.00K,,206.50K
2018年9月27日,20:30,206.25K,,206.00K
2018年9月20日,20:30,205.75K,,208.00K
2018年9月13日,20:30,208.00K,,210.00K
2018年9月6日,20:30,209.50K,,212.25K
2018年8月30日,20:30,212.25K,,213.75K
2018年8月23日,20:30,213.75K,,215.50K
2018年8月16日,20:30,215.50K,,214.50K
2018年8月9日,20:30,214.25K,,214.75K
2018年8月2日,20:30,214.50K,,218.00K
2018年7月26日,20:30,218.00K,,220.75K
2018年7月19日,20:30,220.50K,,223.25K
2018年7月12日,20:30,223.00K,,224.75K
2018年7月5日,20:30,224.50K,,222.25K
2018年6月28日,20:30,222.00K,,221.00K
2018年6月21日,20:30,221.00K,,225.00K
2018年6月14日,20:30,224.25K,,225.50K
2018年6月7日,20:30,225.50K,,222.75K
2018年5月31日,20:30,222.25K,,219.75K
2018年5月24日,20:30,219.75K,,213.50K
2018年5月17日,20:30,213.25K,,216.00K
2018年5月10日,20:30,216.00K,,221.50K
2018年5月3日,20:30,221.50K,,229.25K
2018年4月26日,20:30,229.25K,,231.50K
2018年4月19日,20:30,231.25K,,230.00K
2018年4月12日,20:30,230.00K,,228.25K
2018年4月5日,20:30,228.25K,,225.25K
2018年3月29日,20:30,224.50K,,225.00K
2018年3月22日,20:30,223.75K,,221.50K
2018年3月15日,20:30,221.50K,,222.25K
2018年3月8日,21:30,222.50K,,220.50K
2018年3月1日,21:30,220.50K,,225.50K
2018年2月22日,21:30,226.00K,,228.25K
2018年2月15日,21:30,228.50K,,225.00K
2018年2月8日,21:30,224.50K,,234.50K
2018年2月1日,21:30,234.50K,,239.50K
2018年1月25日,21:30,240.00K,,243.50K
2018年1月18日,21:30,244.50K,,250.75K
2018年1月11日,21:30,250.75K,,241.75K
2018年1月4日,21:30,241.75K,,238.25K
2017年12月28日,21:30,237.75K,,236.00K
2017年12月21日,21:30,236.00K,,234.75K
2017年12月14日,21:30,234.75K,,241.50K
2017年12月7日,21:30,241.50K,,242.25K
2017年11月30日,21:30,242.25K,,240.00K
2017年11月22日,21:30,239.75K,,238.50K
2017年11月16日,21:30,237.75K,,231.25K
2017年11月9日,21:30,231.25K,,232.50K
2017年11月2日,20:30,232.50K,,239.75K
2017年10月26日,20:30,239.50K,,248.50K
2017年10月19日,20:30,248.25K,,257.75K
2017年10月12日,20:30,257.50K,,267.00K
2017年10月5日,20:30,268.25K,,277.75K
2017年9月28日,20:30,277.75K,,268.75K
2017年9月21日,20:30,268.75K,,262.75K
2017年9月14日,20:30,263.25K,,250.25K
2017年9月7日,20:30,250.25K,,236.75K
2017年8月31日,20:30,236.75K,,238.00K
2017年8月24日,20:30,237.75K,,240.50K
2017年8月17日,20:30,240.50K,,241.00K
2017年8月10日,20:30,241.00K,,242.00K
2017年8月3日,20:30,241.75K,,244.25K
2017年7月27日,20:30,244.00K,,244.00K
2017年7月20日,20:30,243.75K,,246.00K
2017年7月13日,20:30,245.75K,,243.50K
2017年7月6日,20:30,243.00K,,242.25K
2017年6月29日,20:30,242.25K,,245.00K
2017年6月22日,20:30,244.75K,,243.25K
2017年6月15日,20:30,243.00K,,242.00K
2017年6月8日,20:30,242.00K,,239.75K
2017年6月1日,20:30,238.00K,,235.50K
2017年5月25日,20:30,235.25K,,241.00K
2017年5月18日,20:30,240.75K,,243.50K
2017年5月11日,20:30,243.50K,,243.00K
2017年5月4日,20:30,243.00K,,242.25K
2017年4月27日,20:30,242.25K,,242.75K
2017年4月20日,20:30,243.00K,,247.25K
2017年4月13日,20:30,247.25K,,250.25K
2017年4月6日,20:30,250.00K,,254.50K
2017年3月30日,20:30,254.25K,,246.50K
2017年3月23日,20:30,240.00K,,239.00K
2017年3月16日,20:30,237.25K,,236.50K
2017年3月9日,21:30,236.50K,,234.25K
2017年3月2日,21:30,234.25K,,240.50K
2017年2月23日,21:30,241.00K,,245.00K
2017年2月16日,21:30,245.25K,,244.75K
2017年2月9日,21:30,244.25K,,248.00K
2017年2月2日,21:30,248.00K,,245.75K
2017年1月26日,21:30,245.50K,,247.50K
2017年1月19日,21:30,246.75K,,257.00K
2017年1月12日,21:30,256.50K,,258.25K
2017年1月5日,21:30,256.75K,,262.50K
2016年12月29日,21:30,263.00K,,263.75K
2016年12月22日,21:30,263.75K,,257.75K
2016年12月15日,21:30,257.75K,,252.50K
2016年12月8日,21:30,252.50K,,251.50K
2016年12月1日,21:30,251.50K,,251.00K
2016年11月23日,21:30,251.00K,,253.00K
2016年11月17日,21:30,253.50K,,260.00K
2016年11月10日,21:30,259.75K,,258.00K
2016年11月3日,20:30,257.75K,,253.00K
2016年10月27日,20:30,253.00K,,252.00K
2016年10月20日,20:30,251.75K,,249.50K
2016年10月13日,20:30,249.25K,,252.75K
2016年10月6日,20:30,253.50K,,256.00K
2016年9月29日,20:30,256.00K,,258.25K
2016年9月22日,20:30,258.50K,,260.75K
2016年9月15日,20:30,260.75K,,261.25K
2016年9月8日,20:30,261.25K,,263.00K
2016年9月1日,20:30,263.00K,,264.00K
2016年8月25日,20:30,264.00K,,265.25K
2016年8月18日,20:30,265.25K,,262.75K
2016年8月11日,20:30,262.75K,,259.75K
2016年8月4日,20:30,260.25K,,256.50K
2016年7月28日,20:30,256.50K,,257.50K
2016年7月21日,20:30,257.75K,,259.00K
2016年7月14日,20:30,259.00K,,264.75K
2016年7月7日,20:30,264.75K,,267.25K
2016年6月30日,20:30,266.75K,,266.75K
2016年6月23日,20:30,267.00K,,269.25K
2016年6月16日,20:30,269.25K,,269.50K
2016年6月9日,20:30,269.50K,,277.00K
2016年6月2日,20:30,276.75K,,278.50K
2016年5月26日,20:30,278.50K,,275.75K
2016年5月19日,20:30,275.75K,,268.25K
2016年5月12日,20:30,268.25K,,258.00K
2016年5月5日,20:30,258.00K,,256.00K
2016年4月28日,20:30,256.00K,,260.75K
2016年4月21日,20:30,260.50K,,265.00K
2016年4月14日,20:30,265.00K,,266.50K
2016年4月7日,20:30,266.75K,,263.25K
2016年3月31日,20:30,263.25K,,259.75K
2016年3月24日,20:30,259.75K,,259.50K
2016年3月17日,20:30,268.00K,,267.25K
2016年3月10日,21:30,267.50K,,270.00K
2016年3月3日,21:30,270.25K,,272.00K
2016年2月25日,21:30,272.00K,,273.25K
2016年2月18日,21:30,273.25K,,281.25K
2016年2月11日,21:30,281.25K,,284.75K
2016年2月4日,21:30,284.75K,,282.75K
2016年1月28日,21:30,283.00K,,285.25K
2016年1月21日,21:30,285.00K,,278.50K
2016年1月14日,21:30,278.75K,,275.75K
2016年1月7日,21:30,275.75K,,277.00K
2015年12月31日,21:30,277.00K,,272.50K
2015年12月24日,21:30,272.50K,,270.75K
2015年12月17日,21:30,270.50K,,270.75K
2015年12月10日,21:30,270.75K,,269.25K
2015年12月3日,21:30,269.25K,,271.00K
2015年11月25日,21:30,271.00K,,271.00K
2015年11月19日,21:30,270.75K,,267.75K
2015年11月12日,21:30,267.75K,,262.75K
2015年11月5日,21:30,262.75K,,259.25K
2015年10月29日,20:30,259.25K,,263.25K
2015年10月22日,20:30,263.25K,,265.25K
2015年10月15日,20:30,265.00K,,267.25K
2015年10月8日,20:30,267.50K,,270.50K
2015年10月1日,20:30,270.75K,,271.75K
2015年9月24日,20:30,271.75K,,272.50K
2015年9月17日,20:30,272.50K,,275.75K
2015年9月10日,20:30,275.75K,,275.25K
2015年9月3日,20:30,275.50K,,272.25K
2015年8月27日,20:30,272.50K,,271.50K
