发布日期,时间,今值,预测值,前值
2015年9月16日,16:30,2.9%,2.5%,2.6%
2015年8月12日,16:30,2.4%,2.8%,3.2%
2015年7月15日,16:30,3.2%,3.3%,2.7%
2015年6月17日,16:30,2.7%,2.1%,2.3%
2015年5月13日,16:30,1.9%,1.7%,1.7%
2015年4月17日,16:30,1.7%,1.8%,1.9%
2015年3月18日,17:30,1.8%,2.2%,2.1%
2015年2月18日,17:30,2.1%,1.7%,1.8%
2015年1月21日,17:30,1.7%,1.7%,1.4%
2014年12月17日,17:30,1.4%,1.2%,1.0%
2014年11月12日,17:30,1.0%,0.9%,0.7%
2014年10月15日,16:30,0.7%,0.7%,0.6%
2014年9月17日,16:30,0.6%,0.5%,-0.1%
2014年8月13日,16:30,-0.2%,-0.1%,0.4%
2014年7月16日,16:30,0.3%,0.5%,0.8%
2014年6月11日,16:30,0.7%,1.2%,1.9%
2014年5月14日,16:30,1.7%,2.1%,1.7%
2014年4月16日,16:30,1.7%,1.8%,1.4%
2014年3月19日,17:30,1.4%,1.3%,1.2%
2014年2月19日,17:30,1.1%,1.0%,0.9%
2014年1月22日,17:30,0.9%,1.0%,0.9%
2013年12月18日,17:30,0.9%,0.8%,0.8%
2013年11月13日,17:30,0.7%,0.7%,0.8%
2013年10月16日,16:30,0.7%,1.0%,1.2%
2013年9月11日,16:30,1.1%,1.2%,2.2%
2013年8月14日,16:30,2.1%,2.0%,1.8%
2013年7月17日,16:30,1.7%,1.4%,1.3%
2013年6月12日,16:30,1.3%,0.3%,0.6%
2013年5月15日,16:30,0.4%,0.7%,1.0%
2013年4月17日,16:30,0.8%,1.2%,1.2%
2013年3月20日,17:30,1.2%,1.5%,1.3%
2013年2月20日,17:30,1.4%,1.4%,1.5%
2013年1月23日,17:30,1.5%,1.5%,1.8%
2012年12月12日,17:30,1.8%,1.9%,1.8%
2012年11月14日,17:30,1.8%,1.9%,1.7%
2012年10月17日,16:30,1.7%,1.6%,1.6%
2012年9月12日,16:30,1.5%,1.6%,1.8%
2012年8月15日,16:30,1.6%,1.8%,1.5%
2012年7月18日,16:30,1.5%,1.4%,1.4%
2012年6月20日,16:30,1.4%,0.8%,0.9%
2012年5月16日,16:30,0.6%,1.0%,1.1%
2012年4月18日,16:30,1.1%,1.3%,1.3%
2012年3月14日,17:30,1.4%,1.9%,1.9%
2012年2月15日,17:30,2.0%,1.8%,2.0%
2012年1月18日,17:30,1.9%,2.0%,2.1%
2011年12月14日,17:30,2.0%,2.0%,2.3%
2011年11月16日,17:30,2.3%,2.5%,2.7%
2011年10月12日,16:30,2.8%,2.7%,2.9%
2011年9月14日,16:30,2.8%,2.7%,2.7%
2011年8月17日,16:30,2.6%,2.3%,2.3%
2011年7月13日,16:30,2.3%,2.1%,2.0%
2011年6月15日,16:30,1.8%,2.1%,2.4%
2011年5月18日,16:30,2.3%,2.0%,2.1%
2011年4月13日,16:30,2.0%,2.6%,2.3%
2011年3月16日,17:30,2.3%,2.1%,1.8%
2011年2月16日,17:30,1.8%,2.0%,2.1%
2011年1月19日,17:30,2.1%,2.2%,2.1%
2010年12月15日,17:30,2.2%,2.2%,2.0%
2010年11月17日,17:30,2.0%,2.1%,1.7%
2010年10月13日,16:30,1.7%,1.6%,1.3%
2010年9月15日,16:30,1.5%,1.6%,1.1%
2010年8月11日,16:30,1.3%,1.1%,2.7%
2010年7月14日,16:30,2.7%,3.1%,4.1%
2010年6月16日,16:30,4.2%,4.4%,4.3%
2010年5月12日,16:30,4.0%,2.2%,2.5%
2010年4月21日,16:30,2.3%,2.5%,0.8%
2010年3月17日,17:30,0.9%,1.7%,0.7%
2010年2月17日,17:30,0.8%,1.2%,0.8%
2010年1月20日,17:30,1.6%,1.6%,1.5%
2009年12月16日,17:30,1.5%,1.3%,1.4%
2009年11月11日,17:30,1.2%,1.6%,1.6%
2009年10月14日,16:30,1.6%,1.4%,1.8%
2009年9月16日,16:30,1.7%,2.1%,2.5%
2009年8月12日,16:30,2.5%,2.3%,2.3%
2009年7月15日,16:30,2.3%,2.1%,0.9%
2009年6月17日,16:30,0.8%,0.2%,-0.3%
2009年5月12日,21:00,-0.4%,-1.0%,0.2%
2009年4月22日,16:30,0.1%,1.5%,1.7%
2009年3月18日,17:30,1.8%,3.0%,3.2%
2009年2月11日,17:30,3.2%,3.0%,3.2%
2009年1月21日,17:30,3.1%,3.3%,3.3%
2008年12月17日,17:30,3.3%,3.2%,3.3%
2008年11月12日,17:30,3.3%,3.3%,3.4%
2008年10月15日,16:30,3.4%,3.5%,3.5%
2008年9月17日,16:30,3.5%,3.4%,3.4%
2008年8月13日,16:30,3.4%,,3.8%
2008年7月16日,16:30,3.8%,3.7%,3.8%
2008年6月11日,17:30,3.8%,4.1%,4.0%
2008年5月14日,17:30,4.0%,3.7%,3.7%
2008年4月16日,16:30,3.7%,3.6%,3.7%
2008年3月19日,17:30,3.7%,3.8%,3.8%
2008年2月13日,17:30,3.8%,3.9%,4.0%
2008年1月1日,17:00,4.00%,,4.80%
2007年12月1日,17:00,4.80%,,5.00%
2007年11月1日,17:00,5.00%,,5.10%
2007年10月1日,17:00,5.10%,,4.70%
2007年9月1日,17:00,4.70%,,4.50%
2007年8月1日,17:00,4.50%,,4.30%
2007年7月1日,17:00,4.30%,,4.40%
2007年6月1日,17:00,4.40%,,5.40%
2007年5月1日,17:00,5.40%,,6.20%
2007年4月1日,17:00,6.20%,,6.60%
2007年3月1日,17:00,6.60%,,5.40%
2007年2月1日,17:00,5.40%,,4.70%
2007年1月1日,17:00,4.70%,,4.10%
2006年12月1日,17:00,4.10%,,3.90%
2006年11月1日,17:00,3.90%,,4.00%
2006年10月1日,17:00,4.00%,,4.60%
2006年9月1日,17:00,4.60%,,4.90%
2006年8月1日,17:00,4.90%,,4.80%
2006年7月1日,17:00,4.80%,,4.90%
2006年6月1日,17:00,4.90%,,5.50%
2006年5月1日,17:00,5.50%,,5.30%
2006年4月1日,17:00,5.30%,,4.80%
2006年3月1日,17:00,4.80%,,4.20%
2006年2月1日,17:00,4.20%,,4.30%
2006年1月1日,17:00,4.30%,,4.50%
2005年12月1日,17:00,4.50%,,4.60%
2005年11月1日,17:00,4.60%,,4.80%
2005年10月1日,17:00,4.80%,,4.70%
2005年9月1日,17:00,4.70%,,4.50%
2005年8月1日,17:00,4.50%,,4.40%
2005年7月1日,17:00,4.40%,,4.30%
2005年6月1日,17:00,4.30%,,4.90%
2005年5月1日,17:00,4.90%,,5.00%
2005年4月1日,17:00,5.00%,,5.30%
2005年3月1日,17:00,5.30%,,5.10%
2005年2月1日,17:00,5.10%,,5.20%
2005年1月1日,17:00,5.20%,,5.10%
2004年12月1日,17:00,5.10%,,5.00%
2004年11月1日,17:00,5.00%,,4.80%
2004年10月1日,17:00,4.80%,,4.70%
2004年9月1日,17:00,4.70%,,4.40%
2004年8月1日,17:00,4.40%,,4.60%
2004年7月1日,17:00,4.60%,,4.00%
2004年6月1日,17:00,4.00%,,3.40%
2004年5月1日,17:00,3.40%,,3.00%
2004年4月1日,17:00,3.00%,,3.50%
2004年3月1日,17:00,3.50%,,3.80%
2004年2月1日,17:00,3.80%,,3.80%
2004年1月1日,17:00,3.80%,,3.70%
2003年12月1日,17:00,3.70%,,3.50%
2003年11月1日,17:00,3.50%,,3.10%
2003年10月1日,17:00,3.10%,,2.80%
2003年9月1日,17:00,2.80%,,2.70%
2003年8月1日,17:00,2.70%,,2.70%
2003年7月1日,17:00,2.70%,,3.30%
2003年6月1日,17:00,3.30%,,3.20%
2003年5月1日,17:00,3.20%,,3.10%
2003年4月1日,17:00,3.10%,,2.40%
2003年3月1日,17:00,2.40%,,2.50%
2003年2月1日,17:00,2.50%,,2.60%
2003年1月1日,17:00,2.60%,,2.90%
2002年12月1日,17:00,2.90%,,3.00%
2002年11月1日,17:00,3.00%,,3.30%
2002年10月1日,17:00,3.30%,,3.50%
2002年9月1日,17:00,3.50%,,3.80%
2002年8月1日,17:00,3.80%,,3.70%
2002年7月1日,17:00,3.70%,,3.40%
2002年6月1日,17:00,3.40%,,3.10%
2002年5月1日,17:00,3.10%,,3.10%
2002年4月1日,17:00,3.10%,,3.30%
2002年3月1日,17:00,3.30%,,3.80%
2002年2月1日,17:00,3.80%,,4.10%
2002年1月1日,17:00,4.10%,,4.50%
2001年12月1日,17:00,4.50%,,4.70%
2001年11月1日,17:00,4.70%,,4.80%
2001年10月1日,17:00,4.80%,,5.20%
2001年9月1日,17:00,5.20%,,5.20%
2001年8月1日,17:00,5.20%,,5.50%
2001年7月1日,17:00,5.50%,,5.20%
2001年6月1日,17:00,5.20%,,6.30%
2001年5月1日,17:00,6.30%,,6.20%
