发布日期,时间,今值,预测值,前值
2018年2月15日,22:15,77.50%,78.00%,77.70%
2018年1月17日,22:15,77.90%,77.30%,77.20%
2017年12月15日,22:15,77.10%,77.30%,77.00%
2017年11月16日,22:15,77.00%,76.30%,76.40%
2017年10月17日,21:15,76.00%,76.20%,75.80%
2017年9月15日,21:15,76.10%,76.80%,76.90%
2017年8月17日,20:45,76.70%,76.70%,76.70%
2017年7月14日,21:15,76.60%,76.70%,76.40%
2017年6月15日,21:15,76.60%,76.70%,76.70%
2017年5月16日,21:15,76.70%,76.30%,76.10%
2017年4月18日,21:15,76.10%,76.20%,75.70%
2017年3月17日,21:15,75.40%,75.50%,75.50%
2017年2月15日,22:15,75.30%,75.50%,75.60%
2017年1月18日,22:15,75.50%,75.40%,74.90%
2016年12月14日,22:15,75.00%,75.10%,75.40%
2016年11月16日,22:15,75.30%,75.50%,75.40%
2016年10月17日,21:15,75.40%,75.60%,75.30%
2016年9月15日,21:15,75.50%,75.70%,75.90%
2016年8月16日,21:15,75.90%,75.60%,75.40%
2016年7月15日,21:15,75.40%,75.00%,74.90%
2016年6月15日,21:15,74.90%,75.20%,75.30%
2016年5月17日,21:15,75.40%,75.00%,74.90%
2016年4月15日,21:15,74.80%,75.40%,75.30%
2016年3月16日,21:15,76.70%,76.90%,77.10%
2016年2月17日,22:15,77.10%,76.70%,76.40%
2016年1月15日,22:15,76.50%,76.80%,76.90%
2015年12月16日,22:15,77.00%,77.40%,77.50%
2015年11月17日,22:15,77.50%,77.50%,77.70%
2015年10月16日,21:15,77.50%,77.40%,77.80%
2015年9月15日,21:15,77.60%,77.80%,78.00%
2015年8月14日,21:15,78.00%,78.00%,77.70%
2015年7月15日,21:15,78.40%,78.10%,78.20%
2015年6月15日,21:15,78.10%,78.30%,78.30%
2015年5月15日,21:15,78.20%,78.40%,78.60%
2015年4月15日,21:15,78.40%,78.70%,79.00%
2015年3月16日,21:15,78.90%,79.50%,79.10%
2015年2月18日,22:15,79.40%,79.90%,79.40%
2015年1月16日,22:15,79.70%,80.00%,80.00%
2014年12月15日,22:15,80.10%,79.30%,79.30%
2014年11月17日,22:15,78.90%,79.30%,79.20%
2014年10月16日,21:15,79.30%,79.00%,78.70%
2014年9月15日,21:15,78.80%,79.30%,79.10%
2014年8月15日,21:15,79.20%,79.20%,79.10%
2014年7月16日,21:15,79.10%,79.30%,79.10%
2014年6月16日,21:15,79.10%,78.90%,78.90%
2014年5月15日,21:15,78.60%,79.20%,79.30%
2014年4月16日,21:15,79.20%,78.70%,78.80%
2014年3月17日,21:15,78.80%,78.60%,78.50%
2014年2月14日,22:15,78.50%,79.30%,78.90%
2014年1月17日,22:15,79.20%,79.10%,79.10%
2013年12月16日,22:15,79.00%,78.40%,78.20%
2013年11月15日,22:15,78.10%,78.30%,78.30%
2013年10月28日,21:15,78.30%,78.00%,77.90%
2013年9月16日,21:15,77.80%,77.80%,77.60%
2013年8月15日,21:15,77.60%,77.90%,77.70%
2013年7月16日,21:15,77.80%,77.70%,77.70%
2013年6月14日,21:15,77.60%,77.90%,77.70%
2013年5月15日,21:15,77.80%,78.30%,78.30%
2013年4月16日,21:15,78.50%,78.40%,78.30%
2013年3月15日,21:15,79.60%,79.30%,79.20%
2013年2月15日,22:15,79.10%,78.90%,79.30%
2013年1月16日,22:15,78.80%,78.50%,78.70%
2012年12月14日,22:15,78.40%,78.00%,77.70%
2012年11月16日,22:15,77.80%,78.30%,78.20%
2012年10月16日,21:15,78.30%,78.30%,78.00%
2012年9月14日,21:15,78.20%,79.20%,79.20%
2012年8月15日,21:15,79.30%,79.20%,78.90%
2012年7月17日,21:15,78.90%,79.20%,78.70%
2012年6月15日,21:15,79.00%,79.20%,79.20%
2012年5月16日,21:15,79.20%,79.00%,78.40%
2012年4月17日,21:15,78.60%,78.60%,78.70%
2012年3月16日,21:15,78.70%,78.80%,78.80%
2012年2月15日,22:15,78.50%,78.60%,78.60%
2012年1月18日,22:15,78.10%,78.20%,77.80%
2011年12月15日,22:15,77.80%,77.90%,77.80%
2011年11月16日,22:15,77.80%,77.70%,77.30%
2011年10月17日,21:15,77.40%,77.50%,77.30%
2011年9月15日,21:15,77.40%,77.50%,77.30%
2011年8月16日,21:15,77.50%,76.90%,76.90%
2011年7月15日,21:15,76.70%,77.00%,76.70%
2011年6月15日,21:15,76.70%,77.00%,76.70%
2011年5月17日,21:15,76.90%,77.70%,77.00%
2011年4月15日,21:15,77.40%,77.40%,76.90%
2011年3月17日,21:15,76.30%,76.50%,76.40%
2011年2月16日,22:15,76.10%,76.40%,76.20%
2011年1月14日,22:15,76.00%,75.60%,75.40%
2010年12月15日,22:15,75.20%,75.00%,74.90%
2010年11月16日,22:15,74.80%,74.90%,74.80%
2010年10月18日,21:15,74.70%,74.80%,74.80%
2010年9月15日,21:15,74.70%,75.00%,74.60%
2010年8月17日,21:15,74.80%,74.50%,74.10%
2010年7月15日,21:15,74.10%,74.20%,74.10%
2010年6月16日,21:15,74.70%,74.40%,73.70%
2010年5月14日,21:15,73.70%,73.80%,73.10%
2010年4月15日,21:15,73.20%,73.30%,73.00%
2010年3月15日,21:15,72.70%,72.60%,72.50%
2010年2月17日,22:15,72.60%,72.60%,71.90%
2010年1月15日,22:15,72.00%,71.80%,71.50%
2009年12月15日,22:15,71.30%,71.10%,70.60%
2009年11月17日,22:15,70.70%,70.80%,70.50%
2009年10月16日,21:15,70.50%,69.70%,69.90%
2009年9月16日,21:15,69.60%,69.10%,69.00%
2009年8月14日,21:15,68.50%,68.10%,68.10%
2009年7月15日,21:15,68.00%,67.80%,68.20%
