speech,starttime,statestart,overtime,stateover,final,finalover
" Nevertheless, the implementation can be less complex.",1505905966.0,3.0,1505906026.0,3.0,0.0,0.0
 So that was my main message.,1505905981.0,2.0,1505906041.0,2.0,0.0,0.0
Your second question asked about what impact the Fed has had on income distribution because of the fact that stocks and homes tend to be disproportionately owned.,1505905989.0,2.0,1505906049.0,2.0,0.0,0.0
So first let me say that I will greatly miss Vice Chair Fischer.,1505906100.0,3.0,1505906160.0,2.0,-1.0,2.0
" He’s made enormous contributions to the FOMC and to the broader work of the Federal Reserve, and I have really enjoyed working with him and appreciated his wise counsel and friendship.",1505906118.0,2.0,1505906178.0,2.0,0.0,0.0
 It is conceivable that we will be down to three Governors.,1505906122.0,2.0,1505906182.0,2.0,0.0,0.0
" I have full confidence that even if that happens, we will be able to carry out our complement of responsibilities.",1505906135.0,2.0,1505906195.0,2.0,0.0,0.0
" There’s—every action that we are allowed to take under the Federal Reserve Act can be taken, even if we are a Board of three, although we will have to abide, as we always do, by the restrictions that are part of the Government in the Sunshine Act.",1505906160.0,2.0,1505906220.0,2.0,0.0,0.0
I would welcome a full complement of colleagues.,1505906163.0,2.0,1505906223.0,2.0,0.0,0.0
" But, perhaps more important than that, I think it’s very important to have a broad range of views around the table as we deliberate on policy actions.",1505906180.0,2.0,1505906240.0,2.0,0.0,0.0
 I’ve had very good interactions with Randy Quarles and hope he will be confirmed.,1505906184.0,2.0,1505906244.0,2.0,0.0,0.0
" I look forward to working with him, and, you know, I hope that the Administration will make other nominations to fill our slots.",1505906193.0,2.0,1505906253.0,2.0,0.0,0.0
" We do face, in terms of longer-term deficits as the population ages, an unsustainable debt path that will require, I believe, some adjustments to fiscal policy, and I hope Congress will keep that in mind.",1505906280.0,2.0,1505906340.0,2.0,0.0,0.0
" But beyond a few core principles, it’s really—I don’t want to weigh in on details.",1505906290.0,2.0,1505906350.0,2.0,0.0,0.0
" We take our supervision responsibilities at the company very seriously, and we are attempting to understand what the root causes of those problems are and to address them.",1505906339.0,2.0,1505906399.0,2.0,0.0,0.0
" Obviously, there are different—there are different estimates around—of what difference it made, but I would say that it’s effective.",1505906485.0,1.0,1505906545.0,1.0,0.0,0.0
"It will be up to future policymakers to decide, in the event of a severe downturn, whether they think it’s appropriate to again resort to balance sheet—to adding assets to a balance sheet.",1505906506.0,1.0,1505906566.0,0.0,-1.0,2.0
"I mean, you asked me what would it take for us to resume reinvestment, and I can’t really say much more than we said in the guidance that we provided, which is that if there is a material deterioration in the economic outlook and we thought we might be faced with a situation where we would need to substantially cut the federal funds rate and could be limited by the so-called zero lower bound, it is that type of determination that our Committee is saying would—might lead us to resume reinvestment.",1505906659.0,0.0,1505906719.0,0.0,0.0,0.0
"So that’s—our Committee has been unanimous in affirming this statement of intentions, so, you know, I think that’s where our Committee stands.",1505906680.0,0.0,1505906740.0,0.0,0.0,0.0
" So that is a somewhat high bar to resume reinvestments, and that’s why, in answering previous questions, I would say, well, you know, if there’s some small, negative shock, our first tool—our most important and reliable tool—will be the federal funds rate.",1505906683.0,0.0,1505906743.0,0.0,0.0,0.0
" But if there is a significant shock that’s a material deterioration to the outlook, we would consider resuming reinvestment.",1505906692.0,0.0,1505906752.0,0.0,0.0,0.0
 So you asked first about the designation process.,1505906726.0,0.0,1505906786.0,0.0,0.0,0.0
" So during the time that I’ve been on the FSOC, only one firm was—several firms were designated before I participated.",1505906741.0,0.0,1505906801.0,0.0,0.0,0.0
" MetLife was designated during the time that I was there, and I have seen how the designation process works.",1505906747.0,0.0,1505906807.0,0.0,0.0,0.0
I do think designation is important.,1505906749.0,0.0,1505906809.0,0.0,0.0,0.0
 We saw during the financial crisis that some systemically important nonbanking organizations like Lehman and AIG—that their distress produced broad systemic consequences that were adverse for the U.S. economy.,1505906783.0,0.0,1505906843.0,0.0,0.0,0.0
" And having the ability to designate firms when the FSOC makes the determination that their distress or failure could have systemic repercussions, I believe that’s an important—that’s an important policy tool for FSOC to have available.",1505906813.0,0.0,1505906873.0,0.0,0.0,0.0
"Now, it’s not meant to be a one-way street, in the sense that a firm that’s designated—the procedures require annual reviews.",1505906816.0,0.0,1505906876.0,0.0,0.0,0.0
" Firms may change their business models or just how they conduct their business, and we should welcome de-designation of firms if their business model is changed in a way that leads us to believe that their failure or distress would no longer be systemically important and those are decisions that we make every year.",1505906838.0,0.0,1505906898.0,1.0,1.0,3.0
"So, you know, I’m satisfied with that process so far.",1505906849.0,0.0,1505906909.0,1.0,1.0,3.0
" GE Capital dramatically changed its business model and was de-designated, and, you know, I believe it’s a process that works.",1505906857.0,0.0,1505906917.0,1.0,1.0,3.0
"know that the Treasury is looking at this and may make recommendations, and if they do, I’d be, you know, glad to consider them as, you know, part of the FSOC process, but I think it’s been important and basically working.",1505906865.0,0.0,1505906925.0,1.0,1.0,3.0
"You asked about Equifax and, you know, of course that is a very serious data breach.",1505906877.0,0.0,1505906937.0,1.0,1.0,3.0
 We would really urge consumers now to be very careful in monitoring their credit reports and financial situation.,1505906886.0,0.0,1505906946.0,1.0,1.0,3.0
" And, through our supervision, we’re working with the banks that we supervise to make sure that they take appropriate actions with respect to their business processes in light of the fact that there could be breaches or fraudulent transactions or information that they received that they might use—for example, in credit determinations—could be contaminated by bad data.",1505906938.0,1.0,1505906998.0,1.0,0.0,0.0
" More generally, it points to the importance of strong cybersecurity controls and attention to cybersecurity risks, which we do see as one of the most significant risks to the financial sector.",1505906938.0,1.0,1505906998.0,1.0,0.0,0.0
 And we are very focused in our banking supervision in making sure that banks have appropriate controls in place.of that.,1505906952.0,1.0,1505907012.0,0.0,-1.0,2.0
"So, first of all, let me say that the decisions that we’ve made this year about rates and today about our balance sheet are ones we’ve taken because we feel the U.S. economy is performing well.",1505906999.0,1.0,1505907059.0,1.0,0.0,0.0
 We are working down our balance sheet because we feel that’s stimulus that in some sense is no longer needed.,1505907011.0,0.0,1505907071.0,1.0,1.0,3.0
" So the basic message here is, U.S. economic performance has been good.",1505907018.0,0.0,1505907078.0,1.0,1.0,3.0
 The labor market has strengthened substantially.,1505907020.0,0.0,1505907080.0,1.0,1.0,3.0
" Every measure of the labor market, whether it’s the narrow unemployment rate, the broader unemployment rate, the number of people working in part-time jobs who want full-time work, the level of job openings, the quit rate, the difficulty that firms are facing in hiring workers, the level of confidence we see in surveys about the labor market—all of that is pointing to vast and continuing improvement in the labor market.",1505907083.0,1.0,1505907143.0,2.0,1.0,3.0
"And we see sufficient strength in the economy, in terms of spending—that growth, with its ups and downs, but nevertheless is strong enough—looks to be strong enough in the medium term to support ongoing improvement in the labor market.",1505907085.0,1.0,1505907145.0,2.0,1.0,3.0
" And all of that is good, and I think that the American people should feel the steps we’re taking to normalize monetary policy are ones that we feel are well justified, given the very substantial progress we’ve seen in the economy.",1505907102.0,1.0,1505907162.0,2.0,1.0,3.0
"Now, inflation is running below where we want it to be, and we’ve talked about that a lot during this—the last hour.",1505907110.0,1.0,1505907170.0,2.0,1.0,3.0
" This past year, where it’s not clear what the reasons are—I think it’s not been mysterious in the past, but, one way or another, we have had four or five years in which inflation is running below our 2 percent objective, and we are also committed to achieving that.",1505907135.0,2.0,1505907195.0,4.0,2.0,4.0
"And in making these judgments about the path of policy, we have to balance various risks.",1505907173.0,3.0,1505907233.0,4.0,1.0,3.0
" One risk is that if we tighten policy too quickly, we may find out that, although we don’t think this now, that the inflation shortfall is something that’s going to be persistent.",1505907182.0,4.0,1505907242.0,4.0,0.0,0.0
" And if we tighten too quickly, we could undermine inflation performance—leave it at too low a level— inflation expectations could fall, and that could become ingrained, and that would be dangerous.",1505907195.0,4.0,1505907255.0,4.0,0.0,0.0
 And so that’s a reason to be cautious about raising interest rates when inflation is as low as it is.,1505907201.0,4.0,1505907261.0,5.0,1.0,3.0
"But, on the other hand, we have a strong labor market and a low unemployment rate.",1505907201.0,4.0,1505907261.0,5.0,1.0,3.0
" And although the pace of job gains is not quite as strong this year as, for example, as it was in 2016, we’re still averaging 175,000 jobs a month this year, which is quite a bit above the pace of maybe 100 to 120,000 that would be consistent with a stable unemployment rate if labor force participation begins to move down in the manner we expect.",1505907254.0,4.0,1505907314.0,5.0,1.0,3.0
