发布日期,时间,今值,预测值,前值
2019年12月20日,23:00,0.1%,0.1%,0.1%
2019年11月27日,23:00,0.1%,0.2%,0.0%
2019年10月31日,20:30,0.0%,0.1%,0.1%
2019年9月27日,20:30,0.1%,0.2%,0.2%
2019年8月30日,20:30,0.2%,0.3%,0.2%
2019年7月30日,20:30,0.2%,0.2%,0.2%
2019年6月28日,20:30,0.2%,0.2%,0.2%
2019年5月31日,20:30,0.2%,0.2%,0.1%
2019年4月29日,20:30,0.1%,0.2%,0.1%
2019年4月29日,20:30,0.0%,0.1%,0.1%
2019年3月29日,20:30,0.1%,0.2%,0.2%
2019年3月1日,21:30,0.2%,0.2%,0.2%
2018年12月21日,23:00,0.1%,0.2%,0.1%
2018年11月29日,21:30,0.1%,0.2%,0.2%
2018年10月29日,20:30,0.2%,0.1%,0.0%
2018年9月28日,20:30,0.0%,0.1%,0.2%
2018年8月30日,20:30,0.2%,0.2%,0.1%
2018年7月31日,20:30,0.1%,0.1%,0.2%
2018年6月29日,20:30,0.2%,0.2%,0.2%
2018年5月31日,20:30,0.2%,0.1%,0.2%
2018年4月30日,20:30,0.2%,0.2%,0.2%
2018年3月29日,20:30,0.2%,0.2%,0.3%
2018年3月1日,21:30,0.3%,0.3%,0.2%
2018年1月29日,21:30,0.2%,0.2%,0.1%
2017年12月22日,21:30,0.1%,0.1%,0.2%
2017年11月30日,21:30,0.2%,0.2%,0.2%
2017年10月30日,20:30,0.1%,0.1%,0.1%
2017年9月29日,20:30,0.1%,0.2%,0.1%
2017年8月31日,20:30,0.1%,0.1%,0.1%
2017年8月1日,20:30,0.1%,0.1%,0.1%
2017年6月30日,20:30,0.1%,0.1%,0.1%
2017年5月30日,20:30,0.2%,0.1%,-0.1%
2017年5月1日,20:30,-0.1%,-0.1%,0.2%
2017年3月31日,20:30,0.2%,0.2%,0.3%
2017年3月1日,21:30,0.3%,0.2%,0.1%
2017年1月30日,21:30,0.1%,0.1%,0.0%
2016年12月22日,23:00,0.0%,0.1%,0.1%
2016年11月30日,21:30,0.1%,0.1%,0.1%
2016年10月31日,20:30,0.1%,0.1%,0.2%
2016年9月30日,20:30,0.2%,0.2%,0.1%
2016年8月29日,20:30,0.1%,0.1%,0.1%
2016年8月2日,20:30,0.1%,0.1%,0.2%
2016年6月29日,20:30,0.2%,0.2%,0.2%
2016年5月31日,20:30,0.2%,0.2%,0.1%
2016年4月29日,20:30,0.1%,0.1%,0.2%
2016年3月28日,20:30,0.1%,0.2%,0.3%
2016年2月26日,23:00,0.3%,0.2%,0.1%
2016年2月1日,21:30,0.0%,0.1%,0.2%
2015年12月23日,21:30,0.1%,0.1%,0.0%
2015年11月25日,21:30,0.0%,0.1%,0.2%
2015年10月30日,20:30,0.1%,0.2%,0.1%
2015年9月28日,20:30,0.1%,0.1%,0.1%
2015年8月28日,20:30,0.1%,0.1%,0.1%
2015年8月3日,20:30,0.1%,0.1%,0.1%
2015年6月25日,20:30,0.1%,0.1%,0.1%
2015年6月1日,20:30,0.1%,0.2%,0.1%
2015年4月30日,20:30,0.1%,0.2%,0.1%
2015年3月30日,20:30,0.1%,0.1%,0.1%
2015年3月2日,21:30,0.1%,0.1%,0.0%
2015年2月2日,21:30,0.0%,0.1%,0.0%
2014年12月23日,23:00,0.0%,0.1%,0.2%
2014年11月26日,21:30,0.2%,0.1%,0.1%
2014年10月31日,20:30,0.1%,0.1%,0.1%
2014年9月29日,20:30,0.1%,0.1%,0.1%
2014年8月29日,20:30,0.1%,0.1%,0.1%
2014年8月1日,20:30,0.1%,0.1%,0.2%
2014年6月26日,20:30,0.2%,0.2%,0.2%
2014年5月30日,20:30,0.2%,0.2%,0.2%
2014年5月1日,20:30,0.2%,0.2%,0.1%
2014年3月28日,20:30,0.1%,0.1%,0.1%
2014年3月3日,21:30,0.1%,0.1%,0.1%
